"filename", "language", "JavaScript", "CSS", "Python", "Database", "Properties", "HTML", "Batch", "XML", "PowerShell", "comment", "blank", "total"
"c:\Users\USER\Documents\SDGP\Implementation\Front-end Flask\venv\Lib\site-packages\pip\_internal\metadata\__init__.py", "Python", 0, 0, 47, 0, 0, 0, 0, 0, 0, 37, 22, 106
"c:\Users\USER\Documents\SDGP\Implementation\Front-end Flask\venv\Lib\site-packages\pip\_internal\metadata\_json.py", "Python", 0, 0, 67, 0, 0, 0, 0, 0, 0, 7, 11, 85
"c:\Users\USER\Documents\SDGP\Implementation\Front-end Flask\venv\Lib\site-packages\pip\_internal\metadata\base.py", "Python", 0, 0, 367, 0, 0, 0, 0, 0, 0, 228, 76, 671
"c:\Users\USER\Documents\SDGP\Implementation\Front-end Flask\venv\Lib\site-packages\pip\_internal\metadata\importlib\__init__.py", "Python", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\USER\Documents\SDGP\Implementation\Front-end Flask\venv\Lib\site-packages\pip\_internal\metadata\importlib\_compat.py", "Python", 0, 0, 13, 0, 0, 0, 0, 0, 0, 22, 9, 44
"c:\Users\USER\Documents\SDGP\Implementation\Front-end Flask\venv\Lib\site-packages\pip\_internal\metadata\importlib\_dists.py", "Python", 0, 0, 157, 0, 0, 0, 0, 0, 0, 23, 27, 207
"c:\Users\USER\Documents\SDGP\Implementation\Front-end Flask\venv\Lib\site-packages\pip\_internal\metadata\importlib\_envs.py", "Python", 0, 0, 114, 0, 0, 0, 0, 0, 0, 39, 28, 181
"c:\Users\USER\Documents\SDGP\Implementation\Front-end Flask\venv\Lib\site-packages\pip\_internal\metadata\pkg_resources.py", "Python", 0, 0, 180, 0, 0, 0, 0, 0, 0, 30, 44, 254
"c:\Users\USER\Documents\SDGP\Implementation\Front-end Flask\venv\Lib\site-packages\pip\_internal\models\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 3
"c:\Users\USER\Documents\SDGP\Implementation\Front-end Flask\venv\Lib\site-packages\pip\_internal\models\candidate.py", "Python", 0, 0, 25, 0, 0, 0, 0, 0, 0, 1, 9, 35
"c:\Users\USER\Documents\SDGP\Implementation\Front-end Flask\venv\Lib\site-packages\pip\_internal\models\direct_url.py", "Python", 0, 0, 165, 0, 0, 0, 0, 0, 0, 7, 41, 213
"c:\Users\USER\Documents\SDGP\Implementation\Front-end Flask\venv\Lib\site-packages\pip\_internal\models\format_control.py", "Python", 0, 0, 64, 0, 0, 0, 0, 0, 0, 2, 15, 81
"c:\Users\USER\Documents\SDGP\Implementation\Front-end Flask\venv\Lib\site-packages\pip\_internal\models\index.py", "Python", 0, 0, 16, 0, 0, 0, 0, 0, 0, 4, 9, 29
